race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
White/Caucasian,Woman,Mixed,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
Prefer not to answer,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Other,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Mixed,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
Asian,Man,Mixed,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
Black or African American,Man,Mixed,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Asian,Non-binary,Mixed,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Hispanic or Latino,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
Asian,Prefer not to answer,Consistently conservative,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Man,Prefer not to answer,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Consistently liberal,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree
Hispanic or Latino,Woman,Mixed,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
Asian,Woman,Consistently liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
Asian,Woman,Mostly liberal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree
Black or African American,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
Hispanic or Latino,Woman,Mostly liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree
White/Caucasian,Woman,Mixed,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Prefer not to answer,Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Asian,Gender not listed. My gender is,Mixed,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree
"Black or African American,White/Caucasian",Woman,Prefer not to answer,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
American Indian or Alaska Native,,Mostly liberal,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Woman,Mixed,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Mixed,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Woman,Consistently conservative,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Mostly liberal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
Asian,Gender not listed. My gender is,Consistently conservative,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
