StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Q1,Q2,Q3,Q4,Q4_7_TEXT,Q5,Q5_6_TEXT,Q6,Q6_1_TEXT,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q15
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This research project is being conducted by Dr. Georgia Mavrommati from School for the Environment at University of Massachusetts, Boston, Massachusetts, USA. The purpose of this study is to better understand students’ perceptions of bottled water versus tap water. Your responses are anonymous. Your participation is voluntary. Completion of the survey should take approximately 5-10 minutes. You may choose not to answer any or all questions. Questions about this project may be directed to: and/or Georgia Mavrommati, email: georgia.mavrommati@umb.edu",How old are you?,Choose your current educational status:,Select all options that best describe your race/ethnicity:,Please indicate your gender: - Selected Choice,Please indicate your gender: - Gender not listed. My gender is - Text,Select the option that best describes your political views: - Selected Choice,Select the option that best describes your political views: - Other - Text,What is your current residential zipcode? - Selected Choice,What is your current residential zipcode? - Zip Code - Text,Are there any drinking water quality issues in your town or neighborhood?,What is your primary source of drinking water?,Do you consistently use a reusable water bottle?,What is the water source in your home?,Select the option that most closely aligns with your beliefs: - Drinking tap water at home is safe.,Select the option that most closely aligns with your beliefs: - Drinking tap water on campus is safe.,Select the option that most closely aligns with your beliefs: - Drinking plastic bottled water is safe.,Select the option that most closely aligns with your beliefs: - My local governments provide reliable information about the safety of drinking water.,Select the option that most closely aligns with your beliefs: - My choice between bottled and tap water is influenced by water quality in my community or stories from other communities.,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Taste,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Appearance,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Health,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Convenience,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Environmental impact,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Cost,Rank the following attributes of water from most to least influential in your decision about what water to drink: - Source or origin,What would make you trust the safety of tap water more?,Do you filter your tap water?,How many glasses (or bottles/cans/boxes) of water do you drink a day?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_7_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}"
2023-09-28 11:11:07,2023-09-28 11:11:44,Survey Preview,100,36,True,2023-09-28 11:11:45,R_3MQDL8JJi9TamqA,preview,EN,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 16:05:53,2023-10-17 16:47:08,Survey Preview,100,2475,True,2023-10-17 16:47:09,R_3lVNao7ghU0QO9l,preview,EN,,20,PhD student,White/Caucasian,Woman,,Mixed,,Zip Code,02125,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,3,5,1,6,4,7,2,"Nothing ",Yes,7-12 glasses per
2023-10-18 13:28:09,2023-10-18 13:31:17,Survey Preview,100,188,True,2023-10-18 13:31:19,R_2rMwrCwVCK1Yo64,preview,EN,,29,Master's student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02052,No,Tap water,Yes,Well,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,3,2,1,7,4,5,6,A report on the quality of the water,Yes,13 or more glasses per day
2023-10-19 15:10:53,2023-10-19 15:12:58,Survey Preview,100,125,True,2023-10-19 15:13:00,R_cCvlPG1Rj09Bpa9,preview,EN,,,,,,,,,,,,,,,,,,,,4,1,2,3,5,6,7,,,
2023-10-19 18:55:54,2023-10-19 18:59:14,IP Address,100,200,True,2023-10-19 18:59:15,R_2aFuvR2pIipvsGu,anonymous,EN,,60,PhD student,White/Caucasian,Woman,,Consistently liberal,,Zip Code,02169,,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,,,,No,2-6 glasses per day
2023-10-20 06:55:25,2023-10-20 06:58:52,IP Address,100,207,True,2023-10-20 06:58:53,R_ePBE5xEMTmpyALf,anonymous,EN,,23,Master's student,Prefer not to answer,Woman,,Mostly liberal,,Zip Code,02144,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,3,1,2,4,6,5,7,"public weekly testing ",Yes,2-6 glasses per day
2023-10-20 07:06:47,2023-10-20 07:10:39,IP Address,100,232,True,2023-10-20 07:10:40,R_22z6qDBoiQebDcr,anonymous,EN,,35,Master's student,White/Caucasian,Woman,,Other,independent,Zip Code,02066,Yes,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,5,6,2,3,4,7,1,at home testing,Yes,13 or more glasses per day
2023-10-20 10:57:51,2023-10-20 11:00:01,IP Address,100,130,True,2023-10-20 11:00:03,R_3m8zVWaqRnQFQm6,anonymous,EN,,35,PhD student,White/Caucasian,Woman,,Consistently liberal,,Zip Code,02370,Yes,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,2,7,6,3,1,4,5,Maybe if I got an annual water quality report,Yes,2-6 glasses per day
