StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Age,SchoolYear,Race,Gender,GenderOther,PoliticalAffil,PoliticalOther,Q6,ZipCode,QualIssues,PrimarySource,WaterBottle,HomeSource,HomeTapSafe,CampusTapSafe,PlasticBottleSafe,GovtReliable,ChoiceOtherCommunity,RankTaste,RankAppearance,RankHealth,RankConvenience,RankEnvironment,RankCost,RankSource,OpenResponse1,FilterYesNo,DailyQuantity
11/1/2023 8:59,11/1/2023 9:10,IP Address,100,631,TRUE,11/1/2023 9:10,R_2fCYp1I0nBr7w0E,anonymous,EN,"Yes, I want to participate",18,Freshman,Asian,Man,,Mixed,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,2,3,1,5,6,7,4,,Yes,Less than 2 glasses per day
11/1/2023 9:07,11/1/2023 9:10,IP Address,100,173,TRUE,11/1/2023 9:10,R_3OjhCc4vEc9tHfw,anonymous,EN,"Yes, I want to participate",18,Freshman,Black or African American,Man,,Mixed,,Prefer not to answer,,No,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,6,2,1,3,5,7,4,National clean water,,2-6 glasses per day
11/1/2023 9:10,11/1/2023 9:12,IP Address,100,95,TRUE,11/1/2023 9:12,R_1E0E7vgXZIChVIn,anonymous,EN,"Yes, I want to participate",20,Junior,White/Caucasian,Man,,Consistently liberal,,Zip Code,2128,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,4,2,5,6,3,1,7,Nothin I’m fine with it,Yes,2-6 glasses per day
11/1/2023 9:10,11/1/2023 9:12,IP Address,100,130,TRUE,11/1/2023 9:12,R_1GOeHMsunTBjHbV,anonymous,EN,"Yes, I want to participate",19,Freshman,Asian,Non-binary,,Mixed,,Prefer not to answer,,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,Yes,2-6 glasses per day
11/1/2023 9:12,11/1/2023 9:15,IP Address,100,200,TRUE,11/1/2023 9:15,R_28OgrrrxVrKbh3w,anonymous,EN,"Yes, I want to participate",18,Freshman,Hispanic or Latino,Woman,,Mostly liberal,,Zip Code,2302,,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,3,2,5,1,6,4,7,Filter ,,7-12 glasses per
11/1/2023 9:13,11/1/2023 9:15,IP Address,100,165,TRUE,11/1/2023 9:15,R_1OQfDGD7jVu75L2,anonymous,EN,"Yes, I want to participate",18,Sophomore,Asian,Prefer not to answer,,Consistently conservative,,Prefer not to answer,,No,Tap water,No,Well,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,home,Yes,2-6 glasses per day
11/1/2023 9:15,11/1/2023 9:17,IP Address,100,121,TRUE,11/1/2023 9:17,R_YRnlQjgKmzC8mZz,anonymous,EN,"Yes, I want to participate",19,Sophomore,White/Caucasian,Man,,Prefer not to answer,,Prefer not to answer,,Yes,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4,5,3,7,6,1,2,If they actually purified the water properly,,2-6 glasses per day
11/1/2023 9:16,11/1/2023 9:19,IP Address,100,190,TRUE,11/1/2023 9:19,R_3dXR6mGW7pc0UmM,anonymous,EN,"Yes, I want to participate",26,Senior,White/Caucasian,Man,,Mostly liberal,,Zip Code,2054,No,Plastic bottled water,No,Public Supply,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,3,1,2,6,4,5,7,more government update and testing clarity,,2-6 glasses per day
11/1/2023 9:17,11/1/2023 9:20,IP Address,100,167,TRUE,11/1/2023 9:20,R_2AHcdr2DDd6J1KR,anonymous,EN,"Yes, I want to participate",18,Freshman,Black or African American,Woman,,Consistently liberal,,Zip Code,2445,No,Plastic bottled water,Yes,,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,1,2,3,7,5,4,6,Knowing where it comes from and what’s in it,,2-6 glasses per day
11/1/2023 9:19,11/1/2023 9:22,IP Address,100,146,TRUE,11/1/2023 9:22,R_A1DjaZQJDiT1qff,anonymous,EN,"Yes, I want to participate",19,Freshman,Hispanic or Latino,Woman,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,,,,,,,Having a filter on the tap ,Yes,7-12 glasses per
